"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","rownum","Fishing_Aquarium_AnnAvg_NumHa","LBSP_AgGolf_runoff_01","LBSP_Urban_runoff_01","MarineDebris_State2015only","ShipBased_Shipping","TourRec_DirectHuman_10yrAvgPUD","OTP_MHI_Fishing_All_Combined_Total","OTP_MHI_Fishing_Commercial_Line","OTP_MHI_Fishing_Commercial_Net","OTP_MHI_Fishing_Commercial_Spear","OTP_MHI_Fishing_Commercial_Total","OTP_MHI_Fishing_NonCommercial_BoatBased_Line","OTP_MHI_Fishing_NonCommercial_BoatBased_Net","OTP_MHI_Fishing_NonCommercial_BoatBased_Spear","OTP_MHI_Fishing_NonCommercial_BoatBased_Total","OTP_MHI_Fishing_NonCommercial_ShoreBased_Line","OTP_MHI_Fishing_NonCommercial_ShoreBased_Net","OTP_MHI_Fishing_NonCommercial_ShoreBased_Spear","OTP_MHI_Fishing_NonCommercial_ShoreBased_Total","OTP_MHI_Fishing_NonCommercial_Total","OTP_MHI_HabitatModification","OTP_MHI_Invasive_Algae","OTP_MHI_Invasive_Fish","OTP_MHI_NewDevelopment","OTP_MHI_OSDS_NitrogenFlux","OTP_MHI_OSDS_PhosphorusFlux","OTP_MHI_OSDS_TotalEffluent","OTP_MHI_Sedimentation","WaveEnergy_MN1979.2012","optional"
"1",1,"Hawaii",35008,"(10,15]",10.636966812768,-155.89708235,20.1465357198444,-155.896544490426,20.14492797,2210.4,17.5,NA,2,60.195,0.275771644662754,2,20.48,13.4633131137919,2,19.325,13.1875414691291,2,39.805,0.275771644662754,2,6.37999985739589,11.1576271057129,2.48586824438074,15.7517333397499,8.82120116432765,1,3.1069016456604,0.000142411595835067,0.0213119793992997,1,2.43053793907166,1.70000004768372,13.4172175166025,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0537715011825064,0.0132235119390231,0.107877432681808,0.174872442089058,10.9210767745972,1.12853968143463,2.22793043976519,13.2303987234452,13.4052975413217,0,0,1,0.00426498460934132,12.9587497711182,3.53677678108215,56.5884284973145,6.90862966356586,169.308826577353,TRUE
"2",2,"Hawaii",35008,"(5,10]",9.700001120412,-155.89681275,20.1465357198444,-155.896544490426,20.143157235,3504.4,25,7.07106781186548,2,55,14.142135623731,2,27.5,10.6066017177982,2,17.5,3.53553390593274,2,45,14.142135623731,2,6.37999985739589,11.1576271057129,2.48586824438074,15.7517333397499,7.55842696453663,2,3.1069016456604,0.000142411595835067,0.0213119793992997,1,2.36233973503113,1.70000004768372,13.4172175166025,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0537715011825064,0.0132235119390231,0.107877432681808,0.174872442089058,10.9210767745972,1.12853968143463,2.22793043976519,13.2303987234452,13.4052975413217,0,0,1,0.00426498460934132,12.9587497711182,3.53677678108215,56.5884284973145,6.90862966356586,169.308826577353,TRUE
"3",3,"Hawaii",35243,"(10,15]",10.546452670584,-155.89553515,20.1375105058366,-155.896544490426,20.140252335,3240.9,18.75,12.3743686707646,2,53.75,1.76776695296637,2,33.75,1.76776695296637,2,12.5,3.53553390593274,2,46.25,1.76776695296637,2,6.37999985739589,11.1576271057129,2.4915380687504,15.6924591595437,1.33541167435423,3,3.1069016456604,0.000139530380522672,0.0208808017944029,2,5.28895616531372,1.39999997615814,2.18703784007376,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0553194645327353,0.0136042367370236,0.11098285099313,0.179906548694308,0.727980852127075,0.83389396490193,1.68975534435276,1.99505947281075,2.17511745717056,0,0,0.818372651377693,0.00398142719724768,15.7791806185333,4.30654521172799,68.9047233876479,4.84601603464209,171.267650109706,TRUE
"4",4,"Hawaii",35243,"(5,10]",9.758097323244,-155.89420635,20.1375105058366,-155.896544490426,20.137036415,7780.7,25,7.35980072193987,4,57.625,7.05189099934668,4,36.25,3.22748612183951,4,6.125,4.25,4,42.375,7.05189099934668,4,6.37999985739589,11.1576271057129,2.4915380687504,15.6924591595437,4.28935776410093,4,3.1069016456604,0.000142287820870431,0.0212934544349512,2,3.22477269172668,1.39999997615814,3.27064317837983,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0553947770184357,0.0136227809962101,0.111133648451105,0.1801512023571,0.727980852127075,0.761786101205974,2.35056174041924,3.07854261093269,3.25872272626191,0,0,0.818372651377693,0.00425362183941617,15.7791806185333,4.30654521172799,68.9047233876479,5.06062218062941,171.267650109706,TRUE
"5",5,"Hawaii",35478,"(5,10]",9.590937759672,-155.892466,20.1284852918288,-155.896544490426,20.1325657,2064.5,35,NA,1,57.5,NA,1,32.5,NA,1,10,NA,1,42.5,NA,1,6.37999985739589,11.1576271057129,2.5022750896412,15.4937246008234,7.48174160954866,5,3.1069016456604,0.000143071190398298,0.0214106873772565,1,8.57253646850586,1.29999995231628,8.03726575395249,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0569009312595276,0.0139931922200469,0.114155607818703,0.185049733568338,0.727980852127075,0.112815327942371,7.05887183251658,7.8401535957842,8.02534559585371,0,0,0,0.00434622351422128,6.47937488555908,1.76838839054108,28.2942142486572,2.34375726496662,171.267650109706,TRUE
"6",6,"Hawaii",35714,"(5,10]",7.89985000698,-155.888179216667,20.119460077821,-155.887530491702,20.11923185,12743.1,37.9166666666667,11.3376217376779,6,50.8333333333333,9.44281031614353,6,32.5,5.47722557505166,6,16.6666666666667,5.40061724867322,6,49.1666666666667,9.44281031614353,6,6.37999985739589,11.1576271057129,2.51190722119677,15.2610335926433,8.67786882558864,6,3.1069016456604,0.000142721677179637,0.0213583814278106,13,12.4808282852173,1.40000009536743,7.42688659012095,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.058487377432331,0.0143833633097024,0.117338474027152,0.190209210597379,0.727980852127075,2.80758453051196,6.49674150649192,7.22472220715903,7.41496613800303,0,0,0,0.00430135521982583,6.01172517664122,1.64075473286626,26.2520757258602,3.4932001739874,171.208826580294,TRUE
"7",7,"Hawaii",35949,"(5,10]",8.93827974114,-155.884882925,20.1104348638132,-155.887530491702,20.112501175,7440.2,38.75,4.33012701892219,4,50.625,11.25,4,31.25,9.24211375534118,4,18.125,5.54338945652086,4,49.375,11.25,4,6.37999985739589,11.1576271057129,2.38009895212921,14.7974779541239,9.90515624096488,7,3.1069016456604,0.000141239790087251,0.0211366151330593,15,13.2016716003418,1.5,25.038887065251,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0599447843664665,0.0147417485568964,0.120263158389084,0.194949690948855,18.201976776123,3.00969672203064,6.62992021771278,24.8318962473958,25.0269661362959,0,0,0,0.00413578127615048,0,0,0,14.2997551998947,172.494120722647,TRUE
"8",8,"Hawaii",36184,"(10,15]",11.035793406912,-155.8840706,20.1014096498054,-155.887530491702,20.10587233,2076.1,25,NA,1,48.5,NA,1,45,NA,1,6.5,NA,1,51.5,NA,1,6.37999985739589,11.1576271057129,2.38003902784634,14.7323911911402,9.87458029030758,8,3.1069016456604,0.000129831991666573,0.0194294318301577,16,13.693229675293,1.20000004768372,2.21350933144012,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0612945515514177,0.0150736117820447,0.122972602299381,0.199340765893356,3.92408717518762,2.24615853753301,2.00213972672807,2.00213972672807,2.20158888851123,0,0,0,0.00326841676557258,0,0,0,6.80612644026525,172.494120722647,TRUE
"9",9,"Hawaii",36185,"(5,10]",9.202708580328,-155.8807294,20.1014096498054,-155.878516492979,20.101723108,11037.2,33.5,4.18330013267038,5,53.4,2.32916293977042,5,41,2.85043856274784,5,5.6,1.78185296812055,5,46.6,2.32916293977042,5,6.37999985739589,11.1576271057129,2.38003902784634,14.7323911911402,8.99419133614535,9,3.1069016456604,0.000142385220033718,0.0213080321879458,16,13.9643630981445,1.70000004768372,13.6929952502742,0.0101675037294626,NA,0.00175284326542169,0.011920346878469,0.0613765055862427,0.0150938104728257,0.12313639247362,0.199606709791617,7.28062677383423,2.03324092811434,6.20080055619157,13.4814273223294,13.6810752749934,0,0,0,0.00426196270922034,0,0,0,7.40483581968978,171.811767772647,TRUE
"10",10,"Hawaii",36420,"(10,15]",10.668,-155.87549,20.0923844357977,-155.878516492979,20.09202,20,NA,NA,1,49.09,NA,1,14.55,NA,1,36.36,NA,1,50.91,NA,1,6.41999985650182,13.2415609359741,2.38289921100323,14.979714687054,9.24633174944231,10,29.4254188537598,0.000163823883833426,0.0242457741808126,16.0501282191353,16.0449047088623,1.39999997615814,23.798872248602,0.0624094381928444,NA,0.00418329425156116,0.0665927305817604,0.0627158727471328,0.0154231321494666,0.125824714791155,0.203963722531151,18.201976776123,1.88115692138672,4.42203573035619,23.5282216304225,23.732279078436,0,0,1,0.00450476024716148,0,0,0,2.17087344586741,174.500003112353,TRUE
